lag_fs,acf_norm_mean,acf_norm_sem
1.585000000000000000e+02,2.350400999999999879e-02,2.344930405916133016e-03
1.590000000000000000e+02,2.977195799999999767e-02,2.517881973434020482e-03
1.595000000000000000e+02,3.666862199999999794e-02,2.953636766058751525e-03
1.600000000000000000e+02,4.362126600000000576e-02,3.543251867521697573e-03
1.605000000000000000e+02,5.004180600000000118e-02,4.141910124233261214e-03
1.610000000000000000e+02,5.539213800000000049e-02,4.633002763844847396e-03
1.615000000000000000e+02,5.924300200000000294e-02,4.938002330991148048e-03
1.620000000000000000e+02,6.131931999999999661e-02,5.015777055789062515e-03
1.625000000000000000e+02,6.152680800000000921e-02,4.863162568548781706e-03
1.630000000000000000e+02,5.995714000000000599e-02,4.516295466264358752e-03
1.635000000000000000e+02,5.687158199999999691e-02,4.050400638274441120e-03
1.640000000000000000e+02,5.266554399999999470e-02,3.573451504918738822e-03
1.645000000000000000e+02,4.781879399999999780e-02,3.202101642108819406e-03
1.650000000000000000e+02,4.283743999999999746e-02,3.006723547429991737e-03
1.655000000000000000e+02,3.819476000000000121e-02,2.957712433980018082e-03
1.660000000000000000e+02,3.427775200000000161e-02,2.949545959871451451e-03
1.665000000000000000e+02,3.134556600000000526e-02,2.882580996531754289e-03
