lag_fs,running_eta_mean,running_eta_sem
1.500000000000000000e+02,2.844343659999999940e-01,3.157523214587024986e-03
1.505000000000000000e+02,2.849746080000000181e-01,3.164608049238326268e-03
1.510000000000000000e+02,2.856030139999999884e-01,3.186282554929170674e-03
1.515000000000000000e+02,2.863121180000000043e-01,3.221888416291599725e-03
1.520000000000000000e+02,2.870806940000000251e-01,3.269641363583476474e-03
1.525000000000000000e+02,2.878771679999999611e-01,3.326832245412142484e-03
1.530000000000000000e+02,2.886642460000000132e-01,3.389987783120463564e-03
1.535000000000000000e+02,2.894041820000000098e-01,3.455008195992300812e-03
1.540000000000000000e+02,2.900640460000000198e-01,3.517392027748117867e-03
1.545000000000000000e+02,2.906204000000000010e-01,3.572603671829556980e-03
1.550000000000000000e+02,2.910628080000000617e-01,3.616601063181281925e-03
1.555000000000000000e+02,2.913958080000000339e-01,3.646420520873040055e-03
1.560000000000000000e+02,2.916390780000000515e-01,3.660720137101981363e-03
1.565000000000000000e+02,2.918257960000000262e-01,3.660111580153810155e-03
1.570000000000000000e+02,2.919993300000000014e-01,3.647171008004692662e-03
1.575000000000000000e+02,2.922086960000000455e-01,3.626108678820317514e-03
1.580000000000000000e+02,2.925032000000000187e-01,3.602108570329329903e-03
1.585000000000000000e+02,2.929270240000000358e-01,3.580500597653351637e-03
1.590000000000000000e+02,2.935142779999999618e-01,3.565969620699819230e-03
1.595000000000000000e+02,2.942851700000000403e-01,3.561998659989923637e-03
1.600000000000000000e+02,2.952437419999999757e-01,3.570677649465715548e-03
1.605000000000000000e+02,2.963774120000000067e-01,3.592802226191137843e-03
1.610000000000000000e+02,2.976583540000000139e-01,3.628095598549741039e-03
1.615000000000000000e+02,2.990465160000000400e-01,3.675378412553732040e-03
1.620000000000000000e+02,3.004939340000000181e-01,3.732534326397546603e-03
1.625000000000000000e+02,3.019497420000000210e-01,3.796406620292934637e-03
1.630000000000000000e+02,3.033653719999999665e-01,3.862754547845874062e-03
1.635000000000000000e+02,3.046992819999999602e-01,3.926486608604944951e-03
1.640000000000000000e+02,3.059207339999999720e-01,3.982212242700775874e-03
1.645000000000000000e+02,3.070122859999999676e-01,4.025052824389516171e-03
1.650000000000000000e+02,3.079705919999999875e-01,4.051497430036695747e-03
1.655000000000000000e+02,3.088056719999999755e-01,4.060095558058211297e-03
1.660000000000000000e+02,3.095386219999999855e-01,4.051783241277104840e-03
1.665000000000000000e+02,3.101981320000000153e-01,4.029739476886067158e-03
1.670000000000000000e+02,3.108162919999999940e-01,3.998773386539175405e-03
1.675000000000000000e+02,3.114240759999999941e-01,3.964403295702391417e-03
1.680000000000000000e+02,3.120472400000000035e-01,3.931875617758016223e-03
1.685000000000000000e+02,3.127030160000000558e-01,3.905408257060456224e-03
1.690000000000000000e+02,3.133980120000000036e-01,3.887856497232628633e-03
1.695000000000000000e+02,3.141276199999999963e-01,3.880863188252069770e-03
1.700000000000000000e+02,3.148769299999999993e-01,3.885257205290279167e-03
1.705000000000000000e+02,3.156229879999999932e-01,3.901393458949505965e-03
1.710000000000000000e+02,3.163380740000000246e-01,3.929214281169450887e-03
1.715000000000000000e+02,3.169935759999999436e-01,3.967934026164754609e-03
1.720000000000000000e+02,3.175639419999999880e-01,4.015592732351479927e-03
1.725000000000000000e+02,3.180302240000000280e-01,4.068751962091815728e-03
1.730000000000000000e+02,3.183828400000000003e-01,4.122633082985923368e-03
1.735000000000000000e+02,3.186231560000000185e-01,4.171777162815144824e-03
