lag_ps,msd_mean,msd_sem
1.635000000000000009e+00,3.388377430000000690e+00,6.630008029886519383e-02
1.639999999999999902e+00,3.397169792000000577e+00,6.651513776214280915e-02
1.645000000000000018e+00,3.405961669999999941e+00,6.673024252123363476e-02
1.649999999999999911e+00,3.414753115999999977e+00,6.694546378697369127e-02
1.655000000000000027e+00,3.423544146000000232e+00,6.716089079816014995e-02
1.659999999999999920e+00,3.432334819999999898e+00,6.737657337586093476e-02
1.665000000000000036e+00,3.441125112000000374e+00,6.759254722367274981e-02
1.669999999999999929e+00,3.449915096000000236e+00,6.780888018705268083e-02
1.675000000000000044e+00,3.458704811999999684e+00,6.802565571055832483e-02
1.679999999999999938e+00,3.467494380000000209e+00,6.824292988453493913e-02
1.685000000000000053e+00,3.476283832000000018e+00,6.846071370586530314e-02
1.689999999999999947e+00,3.485073306000000315e+00,6.867904364946220142e-02
1.695000000000000062e+00,3.493862889999999943e+00,6.889795836640111304e-02
1.699999999999999956e+00,3.502652695999999732e+00,6.911748264679715148e-02
1.705000000000000071e+00,3.511442689999999978e+00,6.933758801675622696e-02
1.709999999999999964e+00,3.520232909999999826e+00,6.955827483874874040e-02
1.715000000000000080e+00,3.529023323999999739e+00,6.977954265756695917e-02
1.719999999999999973e+00,3.537813974000000083e+00,7.000139486947216938e-02
1.725000000000000089e+00,3.546604813999999717e+00,7.022377881169758473e-02
1.729999999999999982e+00,3.555395821999999928e+00,7.044665163261856766e-02
1.735000000000000098e+00,3.564186942000000524e+00,7.066997470338649834e-02
1.739999999999999991e+00,3.572978174000000173e+00,7.089372530343451828e-02
1.745000000000000107e+00,3.581769446000000023e+00,7.111783577145668056e-02
1.750000000000000000e+00,3.590560662000000125e+00,7.134224805334909991e-02
1.754999999999999893e+00,3.599351749999999406e+00,7.156692883382458070e-02
1.760000000000000009e+00,3.608142714000000417e+00,7.179182816865248284e-02
1.764999999999999902e+00,3.616933576000000095e+00,7.201688083835139365e-02
1.770000000000000018e+00,3.625724352000000206e+00,7.224200210093728591e-02
1.774999999999999911e+00,3.634515139999999978e+00,7.246714523860256496e-02
1.780000000000000027e+00,3.643306072000000118e+00,7.269226428377555116e-02
1.784999999999999920e+00,3.652097335999999750e+00,7.291731368565869398e-02
1.790000000000000036e+00,3.660889044000000148e+00,7.314224483489975559e-02
1.794999999999999929e+00,3.669681295999999371e+00,7.336703933535679290e-02
1.800000000000000044e+00,3.678474221999999738e+00,7.359170854018121100e-02
1.804999999999999938e+00,3.687267961999999955e+00,7.381625677363937155e-02
1.810000000000000053e+00,3.696062604000000196e+00,7.404069562480543321e-02
1.814999999999999947e+00,3.704858195999999992e+00,7.426503946713287896e-02
1.820000000000000062e+00,3.713654806000000086e+00,7.448934306470468558e-02
1.824999999999999956e+00,3.722452526000000095e+00,7.471363105796330339e-02
1.830000000000000071e+00,3.731251363999999793e+00,7.493793889433678079e-02
1.834999999999999964e+00,3.740051282000000477e+00,7.516227117545946912e-02
1.840000000000000080e+00,3.748852229999999341e+00,7.538667927259741497e-02
1.844999999999999973e+00,3.757654245999999976e+00,7.561118245565641438e-02
1.850000000000000089e+00,3.766457302000000062e+00,7.583581370730868576e-02
1.854999999999999982e+00,3.775261340000000132e+00,7.606057306183060251e-02
1.860000000000000098e+00,3.784066279999999782e+00,7.628548114317262874e-02
1.864999999999999991e+00,3.792872086000000031e+00,7.651053891469063173e-02
1.870000000000000107e+00,3.801678676000000312e+00,7.673576423058818541e-02
1.875000000000000000e+00,3.810485941999999682e+00,7.696114871165332660e-02
1.879999999999999893e+00,3.819293814000000342e+00,7.718669330435638798e-02
1.885000000000000009e+00,3.828102247999999541e+00,7.741238807226757945e-02
1.889999999999999902e+00,3.836911240000000056e+00,7.763822480118591496e-02
1.895000000000000018e+00,3.845720743999999858e+00,7.786417918798045623e-02
1.899999999999999911e+00,3.854530768000000940e+00,7.809022909452836836e-02
1.905000000000000027e+00,3.863341303999999976e+00,7.831634282400593006e-02
1.909999999999999920e+00,3.872152355999999962e+00,7.854248343535918941e-02
1.915000000000000036e+00,3.880963846000000217e+00,7.876860615054255554e-02
1.919999999999999929e+00,3.889775748000000366e+00,7.899467003674424948e-02
1.925000000000000044e+00,3.898587985999999894e+00,7.922061950864495161e-02
