lag_ps,msd_seg1_A2,msd_seg2_A2,msd_seg3_A2,msd_seg4_A2,msd_seg5_A2
5.600000000000000533e+00,3.288009598051706561e+00,3.200802898596656121e+00,3.126715031070100625e+00,3.752454299419383243e+00,3.604423389611334017e+00
5.700000000000000178e+00,3.332539767242039819e+00,3.244649236917539703e+00,3.167632563022214409e+00,3.806313600989430501e+00,3.656244525053593986e+00
5.799999999999999822e+00,3.376540991202239717e+00,3.288282095377246250e+00,3.208032910430244300e+00,3.860755155409257178e+00,3.706747842528102410e+00
5.900000000000000355e+00,3.420531183177808021e+00,3.331829245790096206e+00,3.249296517589127298e+00,3.915385146053314447e+00,3.756542699981326283e+00
6.000000000000000000e+00,3.465287691247243007e+00,3.375299902033310762e+00,3.290874463587083465e+00,3.970073496182183970e+00,3.805860118949222048e+00
6.100000000000000533e+00,3.510441646601101251e+00,3.418431749875236569e+00,3.332389852653745432e+00,4.023998207968203289e+00,3.854749133019523377e+00
6.200000000000000178e+00,3.555408204032771025e+00,3.460770876810778329e+00,3.374159669524233074e+00,4.077034484845925455e+00,3.903429925934568612e+00
6.299999999999999822e+00,3.600380110234866038e+00,3.503055065002941060e+00,3.415838569404430647e+00,4.128986170090852781e+00,3.952077638931576598e+00
6.400000000000000355e+00,3.645777268809434535e+00,3.545717277515334498e+00,3.457073608066228321e+00,4.181159984356669135e+00,4.001379926470235660e+00
6.500000000000000000e+00,3.691370964873359917e+00,3.588836186203416823e+00,3.498537859185674836e+00,4.233747709576596741e+00,4.050983639243098899e+00
6.600000000000000533e+00,3.736283290443920269e+00,3.631922283050725397e+00,3.540263518646387109e+00,4.286625649612945566e+00,4.101078130701634628e+00
6.700000000000000178e+00,3.780772506575892589e+00,3.675060133731155698e+00,3.582725299532188767e+00,4.339473191444069400e+00,4.151417293148092824e+00
6.799999999999999822e+00,3.824653690602006773e+00,3.718325319435978660e+00,3.624980837221041252e+00,4.392730249569186007e+00,4.201866652743784236e+00
6.900000000000000355e+00,3.868376507311538592e+00,3.761262824241272895e+00,3.666531014982915782e+00,4.446260297636806413e+00,4.251783157007055891e+00
7.000000000000000000e+00,3.912445399133343660e+00,3.803452062752975760e+00,3.707890599042509727e+00,4.499325273853107987e+00,4.302206999264266862e+00
7.100000000000000533e+00,3.956665283997224947e+00,3.845233485532095319e+00,3.749216780917144831e+00,4.551928018415853039e+00,4.353236756838459343e+00
7.200000000000000178e+00,4.001108181031256983e+00,3.886636642633872096e+00,3.790678989562361600e+00,4.603936271519418533e+00,4.404782642750521227e+00
7.299999999999999822e+00,4.044891716261801662e+00,3.928344525379718011e+00,3.832184082105896117e+00,4.656032968063562372e+00,4.455971144805061179e+00
7.400000000000000355e+00,4.088452010255873681e+00,3.970499912817131882e+00,3.873192191654336813e+00,4.708459025211068294e+00,4.505747217455876807e+00
7.500000000000000000e+00,4.132592667587788426e+00,4.013471293360406200e+00,3.913713965001456963e+00,4.760791204289944289e+00,4.554714573178858750e+00
7.600000000000000533e+00,4.177134922426369634e+00,4.057338024748274208e+00,3.953805767112581915e+00,4.812402443799446594e+00,4.603803276347013806e+00
7.700000000000000178e+00,4.222011860184792020e+00,4.100843319927837349e+00,3.993818146549657833e+00,4.864149776198139818e+00,4.652943409606056235e+00
7.799999999999999822e+00,4.266756777992186223e+00,4.143781144251688531e+00,4.033926723978844997e+00,4.915298440837568172e+00,4.701894615470973093e+00
7.900000000000000355e+00,4.311466555990619121e+00,4.186441926992871210e+00,4.074749604511405110e+00,4.966861206415399188e+00,4.750433550205135802e+00
8.000000000000000000e+00,4.356552460545496608e+00,4.228863923455734586e+00,4.115388038951746097e+00,5.018635862786718249e+00,4.799396262185638307e+00
8.099999999999999645e+00,4.401006019830582261e+00,4.271182267459948001e+00,4.155609515829397083e+00,5.069956360119087790e+00,4.848665775213694573e+00
8.199999999999999289e+00,4.445353132526996376e+00,4.314337536519804672e+00,4.196014417041109112e+00,5.120661944373847696e+00,4.897502150639919449e+00
8.300000000000000711e+00,4.489550858486802021e+00,4.357854778759667091e+00,4.237272214244838686e+00,5.171149563294487272e+00,4.945770310075839227e+00
8.400000000000000355e+00,4.533608421539088162e+00,4.401027330039380736e+00,4.279205440316558473e+00,5.221774254557601580e+00,4.993505746785232624e+00
8.500000000000000000e+00,4.577805993320908762e+00,4.444536647336481572e+00,4.322114401276115458e+00,5.272306677318369772e+00,5.041335348322987464e+00
8.599999999999999645e+00,4.621868406799403139e+00,4.488154881684954134e+00,4.365537126872909290e+00,5.323097581026336123e+00,5.089954344699877176e+00
