lag_ps,msd_Na_seg1_A2,msd_Cl_seg1_A2,msd_Na_seg2_A2,msd_Cl_seg2_A2,msd_Na_seg3_A2,msd_Cl_seg3_A2,msd_Na_seg4_A2,msd_Cl_seg4_A2,msd_Na_seg5_A2,msd_Cl_seg5_A2
8.200000000000000622e-01,6.286487922887431523e-01,7.991936718817606033e-01,6.275508210041115253e-01,8.221609027166323358e-01,6.124939432798284233e-01,7.795776968167476006e-01,6.721928830708002733e-01,8.172544439395450500e-01,6.228698315576366440e-01,8.505549460588591737e-01
8.300000000000000711e-01,6.314843501144132842e-01,8.031138590236663877e-01,6.299084291903669364e-01,8.263956090203300464e-01,6.152060308595663773e-01,7.830853860516968634e-01,6.760935869109169216e-01,8.213428829115261287e-01,6.257843570552191759e-01,8.550157229550197080e-01
8.399999999999999689e-01,6.343412782075953382e-01,8.070475594260655416e-01,6.321947872542162949e-01,8.305781607662905408e-01,6.178813306853245813e-01,7.865942204563225459e-01,6.799540967068177233e-01,8.253885022525145887e-01,6.287099223423903149e-01,8.594574291598556792e-01
8.499999999999999778e-01,6.372194150489336462e-01,8.109903828630535827e-01,6.344136233996096053e-01,8.347083827099481823e-01,6.205198292476615807e-01,7.901079667556953900e-01,6.837744415220406990e-01,8.293854881941532531e-01,6.316529207498748910e-01,8.638761803632191150e-01
8.599999999999999867e-01,6.401146238936108457e-01,8.149380699400884387e-01,6.365701827564609339e-01,8.387866167089188529e-01,6.231207612247955385e-01,7.936310752088817644e-01,6.875581993196723252e-01,8.333296641333668431e-01,6.346181248227493743e-01,8.682687698290515455e-01
8.699999999999999956e-01,6.430189989444620169e-01,8.188866018790323942e-01,6.386699759516432096e-01,8.428132615246303194e-01,6.256826289266920194e-01,7.971677352319248566e-01,6.913108400897018946e-01,8.372195690392219003e-01,6.376075838690553610e-01,8.726333511550971034e-01
8.800000000000000044e-01,6.459223254789144830e-01,8.228317868784719158e-01,6.407177492800050222e-01,8.467887803837533811e-01,6.282040019807261233e-01,8.007210731205228749e-01,6.950390584059297217e-01,8.410566237855365834e-01,6.406214901052054156e-01,8.769697386579449194e-01
8.900000000000000133e-01,6.488130224489749853e-01,8.267696750983632992e-01,6.427173896306549450e-01,8.507139522812331434e-01,6.306845831405085701e-01,8.042930898409836882e-01,6.987490510784495346e-01,8.448447160376102438e-01,6.436586123859027175e-01,8.812794856809710309e-01
9.000000000000000222e-01,6.516797818118410524e-01,8.306967324749431336e-01,6.446718822304389196e-01,8.545900091031499723e-01,6.331256640456470741e-01,8.078851793275766413e-01,7.024443504565864860e-01,8.485901594254919855e-01,6.467153860134229326e-01,8.855656988646450900e-01
9.100000000000000311e-01,6.545139419308283468e-01,8.346103645837325002e-01,6.465839984964405485e-01,8.584180464659488807e-01,6.355293811854525465e-01,8.114979480572388493e-01,7.061253257884598789e-01,8.523014918396698558e-01,6.497853033693559155e-01,8.898326105048808277e-01
9.200000000000000400e-01,6.573104316918008116e-01,8.385094296838625505e-01,6.484580634699644852e-01,8.621995085460348873e-01,6.378984843528693327e-01,8.151310291696378663e-01,7.097898555638771922e-01,8.559881743375777896e-01,6.528600114745081173e-01,8.940849712292018303e-01
9.300000000000000488e-01,6.600679209296723693e-01,8.423944576220365743e-01,6.503009820468119706e-01,8.659369860371649574e-01,6.402372805274928469e-01,8.187828978447555528e-01,7.134342890454534736e-01,8.596597114372078741e-01,6.559307523452907462e-01,8.983277025073195254e-01
9.400000000000000577e-01,6.627886244111336200e-01,8.462674221941787200e-01,6.521217896404165604e-01,8.696345339710723765e-01,6.425513925396855175e-01,8.224508579710345657e-01,7.170530863899133855e-01,8.633248783053646402e-01,6.589894994287229801e-01,9.025656731186586512e-01
