lag_fs,acf_norm_mean,acf_norm_sem
1.340000000000000000e+02,2.937470200000000253e-02,4.370466559793587287e-03
1.345000000000000000e+02,3.147552799999999568e-02,4.188805049904327504e-03
1.350000000000000000e+02,3.192399999999999405e-02,4.027041396724150360e-03
1.355000000000000000e+02,3.084893600000000041e-02,3.843265814216601482e-03
1.360000000000000000e+02,2.860216800000000073e-02,3.581352868135727254e-03
1.365000000000000000e+02,2.571154800000000074e-02,3.206082150155232287e-03
1.370000000000000000e+02,2.281185600000000188e-02,2.733846329742401632e-03
1.375000000000000000e+02,2.056246800000000041e-02,2.266540200259858657e-03
1.380000000000000000e+02,1.956193000000000168e-02,2.024369330109997318e-03
1.385000000000000000e+02,2.026976200000000020e-02,2.220803811268343229e-03
1.390000000000000000e+02,2.294479400000000099e-02,2.773442831901533866e-03
1.395000000000000000e+02,2.760711799999999647e-02,3.441743391359094149e-03
1.400000000000000000e+02,3.402809600000000073e-02,4.054684525741305764e-03
1.405000000000000000e+02,4.174967000000000261e-02,4.519906801719477882e-03
1.410000000000000000e+02,5.013109799999999894e-02,4.798904242001917307e-03
1.415000000000000000e+02,5.841802000000000106e-02,4.896534843567438254e-03
1.420000000000000000e+02,6.582620799999999717e-02,4.855646779679714808e-03
1.425000000000000000e+02,7.163027200000000871e-02,4.747387367284662367e-03
1.430000000000000000e+02,7.524672400000000094e-02,4.649517774758581655e-03
1.435000000000000000e+02,7.630113000000000867e-02,4.612520236388128851e-03
1.440000000000000000e+02,7.467094000000000509e-02,4.631256223477599535e-03
1.445000000000000000e+02,7.049875199999999786e-02,4.647613308314708924e-03
1.450000000000000000e+02,6.417459999999999831e-02,4.583072894070091066e-03
1.455000000000000000e+02,5.629006800000000560e-02,4.375239363122206300e-03
1.460000000000000000e+02,4.757039200000000301e-02,4.001474272441844782e-03
1.465000000000000000e+02,3.879337000000000757e-02,3.491343773788253141e-03
1.470000000000000000e+02,3.070480199999999632e-02,2.937004156669512870e-03
1.475000000000000000e+02,2.394009400000000204e-02,2.503398826119402048e-03
1.480000000000000000e+02,1.896036599999999933e-02,2.384554639826062025e-03
1.485000000000000000e+02,1.600927599999999937e-02,2.624355087063485852e-03
1.490000000000000000e+02,1.509463599999999982e-02,3.057487837131326724e-03
1.495000000000000000e+02,1.599615600000000096e-02,3.502338109041729011e-03
1.500000000000000000e+02,1.829838599999999982e-02,3.858431449854461247e-03
1.505000000000000000e+02,2.144532199999999930e-02,4.095819785696632430e-03
1.510000000000000000e+02,2.481076999999999935e-02,4.232705073803275791e-03
1.515000000000000000e+02,2.777676999999999577e-02,4.314336674101824920e-03
1.520000000000000000e+02,2.981082199999999724e-02,4.387342989765444755e-03
1.525000000000000000e+02,3.053252800000000322e-02,4.472342135321715449e-03
1.530000000000000000e+02,2.976105799999999996e-02,4.548815012443790246e-03
1.535000000000000000e+02,2.753717399999999760e-02,4.562692488956053734e-03
1.540000000000000000e+02,2.411693799999999749e-02,4.449928779220404911e-03
1.545000000000000000e+02,1.993810199999999921e-02,4.161073113161315763e-03
1.550000000000000000e+02,1.556404200000000015e-02,3.678849932582735956e-03
1.555000000000000000e+02,1.161286399999999878e-02,3.030776919165447097e-03
1.560000000000000000e+02,8.680966000000001764e-03,2.308881160654658021e-03
1.565000000000000000e+02,7.270396000000001017e-03,1.727780683549274849e-03
1.570000000000000000e+02,7.728239999999999936e-03,1.653462084581923354e-03
1.575000000000000000e+02,1.020443000000000044e-02,2.125307570011926439e-03
1.580000000000000000e+02,1.463186799999999753e-02,2.770014201630381558e-03
1.585000000000000000e+02,2.073069999999999774e-02,3.349382461062038515e-03
1.590000000000000000e+02,2.803592400000000026e-02,3.772704104849198756e-03
1.595000000000000000e+02,3.594561999999999757e-02,4.023671326856854448e-03
1.600000000000000000e+02,4.378474200000000149e-02,4.134032000840583837e-03
1.605000000000000000e+02,5.087777999999999745e-02,4.167755055159792082e-03
1.610000000000000000e+02,5.662213800000000241e-02,4.198598548166280163e-03
1.615000000000000000e+02,6.055364800000000158e-02,4.278473691077693854e-03
1.620000000000000000e+02,6.239609200000000022e-02,4.410979494447236395e-03
1.625000000000000000e+02,6.208837200000000278e-02,4.550853174987520670e-03
1.630000000000000000e+02,5.978582600000000025e-02,4.628708797744355424e-03
1.635000000000000000e+02,5.583560600000000290e-02,4.580518405881151174e-03
1.640000000000000000e+02,5.072975799999999980e-02,4.367754475129524867e-03
1.645000000000000000e+02,4.504269400000000118e-02,3.987923926637267774e-03
