lag_fs,running_eta_mean,running_eta_sem
1.700000000000000000e+01,8.749589199999999178e-02,7.476162891176191608e-04
1.750000000000000000e+01,9.777391800000000133e-02,6.804708408330209079e-04
1.800000000000000000e+01,1.110411119999999974e-01,6.066322071436686071e-04
1.850000000000000000e+01,1.261435060000000163e-01,5.342910666818229300e-04
1.900000000000000000e+01,1.417508559999999807e-01,4.688166871774109945e-04
1.950000000000000000e+01,1.565088679999999954e-01,4.133404050102031601e-04
2.000000000000000000e+01,1.691910539999999796e-01,3.719131218255115673e-04
2.050000000000000000e+01,1.788315500000000058e-01,3.529398903071165263e-04
2.100000000000000000e+01,1.848233180000000142e-01,3.666973310292799722e-04
2.150000000000000000e+01,1.869714299999999940e-01,4.150857303497700697e-04
2.200000000000000000e+01,1.854977100000000101e-01,4.875639571071632662e-04
2.250000000000000000e+01,1.809990140000000136e-01,5.686302660569501075e-04
2.300000000000000000e+01,1.743666920000000176e-01,6.445520356526708702e-04
2.350000000000000000e+01,1.666781760000000112e-01,7.055945496005482662e-04
2.400000000000000000e+01,1.590735759999999943e-01,7.464558128154668779e-04
2.450000000000000000e+01,1.526305719999999921e-01,7.662317381928262323e-04
2.500000000000000000e+01,1.482503880000000107e-01,7.679395787846860118e-04
2.550000000000000000e+01,1.465658980000000000e-01,7.573368069452290083e-04
2.600000000000000000e+01,1.478808779999999934e-01,7.409899199678768918e-04
2.650000000000000000e+01,1.521460379999999835e-01,7.238723733532021658e-04
2.700000000000000000e+01,1.589740299999999884e-01,7.076278655550531475e-04
2.750000000000000000e+01,1.676912259999999988e-01,6.906745860866755644e-04
2.800000000000000000e+01,1.774201199999999867e-01,6.704734653735363540e-04
2.850000000000000000e+01,1.871824780000000410e-01,6.468271026974670591e-04
2.900000000000000000e+01,1.960110780000000053e-01,6.246413946129430149e-04
2.950000000000000000e+01,2.030570039999999854e-01,6.143720502968871714e-04
3.000000000000000000e+01,2.076805260000000042e-01,6.281834322202372884e-04
3.050000000000000000e+01,2.095158500000000035e-01,6.722336454239676885e-04
3.100000000000000000e+01,2.085038119999999551e-01,7.417710623393214322e-04
3.150000000000000000e+01,2.048902679999999865e-01,8.242566665026130734e-04
3.200000000000000000e+01,1.991920120000000016e-01,9.058825097627169537e-04
3.250000000000000000e+01,1.921351479999999778e-01,9.759084982947913286e-04
3.300000000000000000e+01,1.845734699999999895e-01,1.028276980696346240e-03
3.350000000000000000e+01,1.773957899999999699e-01,1.061721867020736084e-03
3.400000000000000000e+01,1.714319580000000232e-01,1.078957518502928706e-03
3.450000000000000000e+01,1.673671199999999804e-01,1.085137248863019075e-03
3.500000000000000000e+01,1.656726739999999920e-01,1.085700396014480096e-03
3.550000000000000000e+01,1.665609539999999833e-01,1.084206924966816567e-03
3.600000000000000000e+01,1.699680379999999880e-01,1.081013459959677793e-03
3.650000000000000000e+01,1.755663339999999906e-01,1.073549454555310957e-03
3.700000000000000000e+01,1.828054859999999893e-01,1.058078015094349655e-03
3.750000000000000000e+01,1.909767299999999834e-01,1.032092269770490097e-03
3.800000000000000000e+01,1.992935379999999923e-01,9.963602898620553192e-04
3.850000000000000000e+01,2.069791619999999666e-01,9.558996206474793369e-04
3.900000000000000000e+01,2.133512519999999912e-01,9.193548698592958609e-04
3.950000000000000000e+01,2.178939859999999840e-01,8.963439816755599263e-04
4.000000000000000000e+01,2.203099780000000174e-01,8.932073009968054169e-04
4.050000000000000000e+01,2.205465179999999970e-01,9.095855906202578601e-04
4.100000000000000000e+01,2.187940080000000120e-01,9.387231052200641383e-04
4.150000000000000000e+01,2.154574180000000116e-01,9.712823592467834328e-04
4.200000000000000000e+01,2.111046599999999995e-01,9.996594260797068542e-04
4.250000000000000000e+01,2.063981119999999669e-01,1.020491276941650491e-03
4.300000000000000000e+01,2.020172440000000125e-01,1.035014204654214265e-03
4.350000000000000000e+01,1.985810459999999833e-01,1.047680777673236840e-03
4.400000000000000000e+01,1.965788340000000078e-01,1.063515340926497006e-03
