lag_ps,msd_mean,msd_sem
1.024999999999999911e+00,1.908206987999999882e+00,2.172970615374047731e-01
1.030000000000000027e+00,1.915184219999999771e+00,2.183957555464911826e-01
1.034999999999999920e+00,1.922167995999999990e+00,2.194911427758929334e-01
1.040000000000000036e+00,1.929158505999999829e+00,2.205831719066972674e-01
1.044999999999999929e+00,1.936155798000000150e+00,2.216718348176897613e-01
1.050000000000000044e+00,1.943159681999999888e+00,2.227572317650841627e-01
1.054999999999999938e+00,1.950169989999999798e+00,2.238392971419679023e-01
1.060000000000000053e+00,1.957186300000000045e+00,2.249181552071126133e-01
1.064999999999999947e+00,1.964208176000000083e+00,2.259939915797310461e-01
1.070000000000000062e+00,1.971234880000000134e+00,2.270669893982376619e-01
1.074999999999999956e+00,1.978265850000000103e+00,2.281371857365951938e-01
1.080000000000000071e+00,1.985300403999999741e+00,2.292046679885715033e-01
1.084999999999999964e+00,1.992337917999999819e+00,2.302696612930443254e-01
1.090000000000000080e+00,1.999377626000000019e+00,2.313323301377323560e-01
1.094999999999999973e+00,2.006418985999999904e+00,2.323928205375098699e-01
1.100000000000000089e+00,2.013461691999999914e+00,2.334512156550524187e-01
1.104999999999999982e+00,2.020505448000000204e+00,2.345078009083496617e-01
1.110000000000000098e+00,2.027550061999999986e+00,2.355627243253544945e-01
1.114999999999999991e+00,2.034595385999999895e+00,2.366161050404000377e-01
1.120000000000000107e+00,2.041641667999999576e+00,2.376679775218993873e-01
1.125000000000000000e+00,2.048688830000000127e+00,2.387185682445624180e-01
1.129999999999999893e+00,2.055736920000000190e+00,2.397680880267858694e-01
1.135000000000000009e+00,2.062785777999999848e+00,2.408166020456981027e-01
1.139999999999999902e+00,2.069835764000000022e+00,2.418641385209442662e-01
1.145000000000000018e+00,2.076886978000000106e+00,2.429108275641205517e-01
1.149999999999999911e+00,2.083939564000000022e+00,2.439568303109543312e-01
1.155000000000000027e+00,2.090993545999999981e+00,2.450021635010729837e-01
1.159999999999999920e+00,2.098049238000000205e+00,2.460468100708849415e-01
1.165000000000000036e+00,2.105106852000000028e+00,2.470908683876382739e-01
1.169999999999999929e+00,2.112166422000000043e+00,2.481344319631377804e-01
1.175000000000000044e+00,2.119227886000000005e+00,2.491774791501376318e-01
1.179999999999999938e+00,2.126291335999999976e+00,2.502199076681218548e-01
1.185000000000000053e+00,2.133356854000000080e+00,2.512617551860128473e-01
1.189999999999999947e+00,2.140424356000000028e+00,2.523030580901240993e-01
1.195000000000000062e+00,2.147493566000000076e+00,2.533438031786889311e-01
1.199999999999999956e+00,2.154564323999999864e+00,2.543838823115787129e-01
1.205000000000000071e+00,2.161636510000000122e+00,2.554233290630291142e-01
1.209999999999999964e+00,2.168709864000000209e+00,2.564622418789808678e-01
1.215000000000000080e+00,2.175784034000000311e+00,2.575006691019930405e-01
1.219999999999999973e+00,2.182858604000000202e+00,2.585385963019311562e-01
1.225000000000000089e+00,2.189933471999999881e+00,2.595762059419203238e-01
1.229999999999999982e+00,2.197008241999999889e+00,2.606137090772175924e-01
1.235000000000000098e+00,2.204082673999999908e+00,2.616512053077448829e-01
1.239999999999999991e+00,2.211156277999999809e+00,2.626886550845727308e-01
1.245000000000000107e+00,2.218229063999999973e+00,2.637262157504500770e-01
1.250000000000000000e+00,2.225300798000000135e+00,2.647640353294470894e-01
1.254999999999999893e+00,2.232371601999999733e+00,2.658022191045082971e-01
